,product_id,product_name,category_path,price
228,1229,Symulator Prac Leśnych (PC),Gry i konsole;Gry komputerowe,35.0
229,1230,Symulator Robót Drogowych (PC),Gry i konsole;Gry komputerowe,47.7
230,1231,Symulator Transportu Kolejowego (PC),Gry i konsole;Gry komputerowe,18.24
231,1232,Symulator Prac Górniczych (PC),Gry i konsole;Gry komputerowe,18.24
232,1233,Manta DVD064,Sprzęt RTV;Video;Odtwarzacze DVD,109.0
233,1234,Sony DVP-SR760,Sprzęt RTV;Video;Odtwarzacze DVD,193.0
234,1235,Baldur&#39;s Gate (PC),Gry i konsole;Gry komputerowe,34.99
235,1236,Avencast Rise of the Mage (PC),Gry i konsole;Gry komputerowe,31.99
236,1237,Race Injection (PC),Gry i konsole;Gry komputerowe,35.99
237,1238,Lego Harry Potter Lata 5-7 (PC),Gry i konsole;Gry komputerowe,34.99
238,1239,Civilization 3 (PC),Gry i konsole;Gry komputerowe,20.9
239,1240,PREY (PC),Gry i konsole;Gry komputerowe,19.9
240,1241,Scania Truck Driving Simulator (PC),Gry i konsole;Gry komputerowe,27.99
241,1242,Karaoke Dziecięce Przeboje (PC),Gry i konsole;Gry komputerowe,62.48
242,1243,KULT HERETIC KINGDOMS (PC),Gry i konsole;Gry komputerowe,19.99
243,1244,Hard Reset (PC),Gry i konsole;Gry komputerowe,9.99
244,1245,Warhammer 40.000 Dawn of War 2 (PC),Gry i konsole;Gry komputerowe,34.99
245,1246,Quake 4 (PC),Gry i konsole;Gry komputerowe,33.99
246,1247,Star Wars The Force Unleashed (PC),Gry i konsole;Gry komputerowe,63.99
247,1248,GTA Vice City (PC),Gry i konsole;Gry komputerowe,40.9
248,1249,King&#39;s Bounty Wojownicza Księżniczka (PC),Gry i konsole;Gry komputerowe,39.99
249,1250,Port Royale 3 (PC),Gry i konsole;Gry komputerowe,23.9
250,1251,Kane &amp; Lynch 2 (PC),Gry i konsole;Gry komputerowe,15.9
251,1252,Two Worlds 2 (PC),Gry i konsole;Gry komputerowe,12.9
252,1253,The Club (PC),Gry i konsole;Gry komputerowe,39.9
253,1254,Warhammer 40.000 Dawn of War Winter Assault (PC),Gry i konsole;Gry komputerowe,55.9
254,1255,Auta (PC),Gry i konsole;Gry komputerowe,32.9
255,1256,Call of Juarez (PC),Gry i konsole;Gry komputerowe,36.99
256,1257,Mad Riders (PC),Gry i konsole;Gry komputerowe,9.9
257,1258,Rage (PC),Gry i konsole;Gry komputerowe,13.99
258,1259,Rocksmith (PC),Gry i konsole;Gry komputerowe,73.9
259,1260,Sleeping Dogs (PC),Gry i konsole;Gry komputerowe,74.9
260,1261,Symulator Maszyn Budowlanych (PC),Gry i konsole;Gry komputerowe,9.99
261,1262,Darksiders 2 (PC),Gry i konsole;Gry komputerowe,14.99
